date,Exchange Inflow (Total)
2020-05-15,209477056.617976
2020-05-16,160235133.51829
2020-05-17,173177768.301942
2020-05-18,340410077.532355
2020-05-19,290982286.800052
2020-05-20,289311354.835202
2020-05-21,304960007.363823
2020-05-22,237388963.101247
2020-05-23,154567228.388249
2020-05-24,149886597.609091
2020-05-25,222313180.817913
2020-05-26,213081686.953778
2020-05-27,278138114.36877
2020-05-28,372073009.633102
2020-05-29,303912006.353098
2020-05-30,256047074.366278
2020-05-31,197163752.952292
2020-06-01,350677220.846422
2020-06-02,586373591.24761
2020-06-03,304166633.915285
2020-06-04,309923036.800633
2020-06-05,279708469.3906
2020-06-06,149542406.4556
2020-06-07,156358563.745099
2020-06-08,317813555.396897
2020-06-09,304707878.743175
2020-06-10,332068812.00833
2020-06-11,447527932.714013
2020-06-12,317112733.076592
2020-06-13,150920935.227261
2020-06-14,147747956.744425
2020-06-15,344529582.426331
2020-06-16,355777190.768662
2020-06-17,335025998.547531
2020-06-18,366521512.328464
2020-06-19,373101224.3419
2020-06-20,176920966.821714
2020-06-21,181334565.851252
2020-06-22,400648022.893248
2020-06-23,373626323.275864
2020-06-24,408816746.011713
2020-06-25,293554565.515442
2020-06-26,270354344.3315
2020-06-27,169596841.240509
2020-06-28,184417519.97731
2020-06-29,648425365.913195
2020-06-30,279309644.393458
2020-07-01,307610473.77947
2020-07-02,375258691.567164
2020-07-03,304465427.400009
2020-07-04,166432986.015484
2020-07-05,141324469.289862
2020-07-06,373902758.599097
2020-07-07,337441299.909996
2020-07-08,407205815.583393
2020-07-09,343414185.618605
2020-07-10,323538659.321636
2020-07-11,215641557.05261
2020-07-12,205004284.163366
2020-07-13,394489941.835933
2020-07-14,470715492.898193
2020-07-15,342519941.94926
2020-07-16,365301403.307453
2020-07-17,317733137.051194
2020-07-18,204650189.971966
2020-07-19,148658478.6945
2020-07-20,464062856.836467
2020-07-21,421288492.576839
2020-07-22,465618311.774326
2020-07-23,489574026.914412
2020-07-24,368905683.789316
2020-07-25,216399041.360365
2020-07-26,317392522.710425
2020-07-27,855719726.815786
2020-07-28,594371494.576063
2020-07-29,414067438.775779
2020-07-30,464719947.845412
2020-07-31,477582936.379881
2020-08-01,416588283.087053
2020-08-02,397048368.271776
2020-08-03,463940139.316312
2020-08-04,585730013.325722
2020-08-05,401716606.238947
2020-08-06,560631187.805104
2020-08-07,408607556.76918
2020-08-08,234220883.06277
2020-08-09,210443743.984696
2020-08-10,871500292.37779
2020-08-11,610457101.351309
2020-08-12,325269130.370248
2020-08-13,696196649.796546
2020-08-14,452612461.612771
2020-08-15,260274510.10741
2020-08-16,261772733.550198
2020-08-17,566003505.909121
2020-08-18,432135522.420682
2020-08-19,554569346.94789
2020-08-20,1375977938.881526
