date,Transaction Count (Mean)
2024-09-09,161.60114397
2024-09-10,163.10961969
2024-09-11,163.43339849
2024-09-12,163.35197093
2024-09-13,161.5609654
2024-09-14,153.16815767
2024-09-15,151.41869862
2024-09-16,154.03550958
2024-09-17,160.20016797
2024-09-18,158.31726066
2024-09-19,164.42564174
2024-09-20,161.70324294
2024-09-21,151.4090337
2024-09-22,148.30865747
2024-09-23,158.50593327
2024-09-24,159.4569398
2024-09-25,160.87665875
2024-09-26,160.52963325
2024-09-27,167.62614999
2024-09-28,155.39877215
2024-09-29,155.77845982
2024-09-30,166.51016996
2024-10-01,176.73447747
2024-10-02,161.1761427
2024-10-03,162.15133324
